"dataset_id","url","n_names"
"239b0a6b-0ac6-4ede-a8eb-89269c0f8655","http://ipt.vliz.be/eurobis/resource?r=macrozoobenthos_danube_mouths_2000_2010",6
"1e322446-2db5-42ed-87a2-9cc7348ad4b4","http://ipt.vliz.be/eurobis/resource?r=mesozooplankton_interreg",2
"cfa6809d-50cf-4f29-99d1-9e9bbf39c59c","http://ipt.vliz.be/eurobis/resource?r=mi_wfd_benthos",3
"4567d82a-985c-4fca-830f-a1140f644ed2","http://ipt.vliz.be/eurobis/resource?r=microzoo_interreg",2
"0310154f-f82b-4cd8-9c90-f714569d5667","http://ipt.vliz.be/eurobis/resource?r=microzooplankton-prisma",1
"baa2fd15-8103-4153-acaa-268bd41e5462","http://ipt.vliz.be/eurobis/resource?r=mme-t-mednet",1
"8e1a7146-8eba-4c00-8243-88747d75296c","http://ipt.vliz.be/eurobis/resource?r=netplankton_alpeadria",1
"132ab7ea-1b4b-46ea-8f5f-6b8da98db2be","http://ipt.vliz.be/eurobis/resource?r=nsbp_newel",1
"3be91cf5-35bc-4e08-aa60-836b6ca47d6d","http://ipt.vliz.be/eurobis/resource?r=phyto-interreg",5
"ecd5bbe8-8302-40d1-b32b-581fb8a7d971","http://ipt.vliz.be/eurobis/resource?r=phyto_black_sea_nov_1948",1
"36be7d35-bc96-4ba1-a27b-0b8a0496741b","http://ipt.vliz.be/eurobis/resource?r=phytoplankton_adricosm_star_2008_2009",1
"c28a98ea-84bc-4930-8d82-778ed7402269","http://ipt.vliz.be/eurobis/resource?r=phytoplankton_data_from_estonian_marine_monitoring_1993-2016",5
"5d834e18-273c-48ba-91bb-ead0f15a5457","http://ipt.vliz.be/eurobis/resource?r=prisma2-phytoplankton",2
"6140c326-839f-4f4a-ac3f-3ad6acbd2f1d","http://ipt.vliz.be/eurobis/resource?r=ro_black_sea_zpk_1956_1960",1
"1f15159f-6d35-4c3f-86e8-b3a89041ea33","http://ipt.vliz.be/eurobis/resource?r=smhi-phytoplankton-nat",1
"29085f95-19fc-40f5-9e8c-4b566bfd240d","http://ipt.vliz.be/eurobis/resource?r=taureau_phytoplankton",1
"10fe54bb-b93b-4f00-bf4c-bd51542614ef","http://ipt.vliz.be/eurobis/resource?r=tisbe",2
"b74b429a-4052-4f5b-bff3-fe0b5a2e8669","http://ipt.vliz.be/eurobis/resource?r=worms_type_localities",44
"a4a3166a-c3bc-4203-bc19-b3d0cdebe20e","http://ipt.vliz.be/kmfri/resource?r=kenya_marine",5
"48202606-f758-4974-ab2b-57aa154190e3","http://obis.lipi.go.id:8080/ipt/resource?r=cru",1
"78abd3fb-c9be-4b02-86ee-5eacd05e9d32","https://datasets.obis.org/hosted/isa/bgrpms12015_rov_biology/index.html",1
"93de658a-9e25-47f8-811d-0e6365b0f6d7","https://datasets.obis.org/hosted/isa/bgrpms12020_2019_gc_biology/index.html",1
"83a31016-4ec5-4928-ba9f-e3a66e8177f0","https://datasets.obis.org/hosted/isa/comrapmn12014_env_w1102/index.html",1
"f9fc671b-8730-49c5-99b9-df2e7b7513d1","https://datasets.obis.org/hosted/isa/comrapmn12014_env_ws1102/index.html",1
"2020529f-3220-4f4f-9e0f-bd4edc3df85b","https://datasets.obis.org/hosted/isa/comrapms12018_zooplankton/index.html",1
"a9ac85d8-67a1-49bf-8ee8-815536022ce6","https://datasets.obis.org/hosted/isa/gsrpmn12016_marbiol_ugent/index.html",1
"37ea7432-f767-4e81-8263-6e75f7118070","https://datasets.obis.org/hosted/isa/gsrpmn12019_p03_mbl_1/index.html",1
"fe970815-6a9a-48f7-8f05-8c88bacec4b0","https://datasets.obis.org/hosted/isa/ifremerpmn12018_nodinaut_nematoda_copepoda/index.html",2
"779199d7-d691-41e5-aa38-4acd4e8098f6","https://datasets.obis.org/hosted/isa/uksrlpmn12015_env_macrofauna_032016/index.html",2
"aec15b68-859f-41ed-aa27-11b4f7305a63","https://datasets.obis.org/hosted/isa/uksrlpmn12015_env_senckenberg_032016/index.html",1
"bc01451e-d990-4ad1-8315-e3fb6e9cf461","https://ipt-obis.gbif.us/resource?r=ambon_zooplankton_2017",2
"029e5f38-0b14-4818-bc52-db51e2d7df3d","https://ipt-obis.gbif.us/resource?r=dgomb_isopods",4
"f5a4799e-dc24-4807-89d9-01da47d52e3b","https://ipt-obis.gbif.us/resource?r=noaa_dsc_rtp",41
"80479e14-2730-436d-acaa-b63bdc7dd06f","https://ipt-obis.gbif.us/resource?r=wod_2009",2
"7009824b-b1e4-4a67-9fe7-7ed4cf63cbef","https://ipt.biodiversidad.co/sibm/resource?r=anadarko_holothuroidea",1
"cd691a3e-8f01-4166-8d2e-a084e22c9bec","https://ipt.biodiversidad.co/sibm/resource?r=cerrejon_monitoreos-marinos",1
"2ff9fccd-c762-4d09-80ad-7403c93241f6","https://ipt.biodiversidad.co/sibm/resource?r=coleccion_anelidos_cbumag",5
"56ec9691-75c7-4d30-bd66-773e05ca98d8","https://ipt.biodiversidad.co/sibm/resource?r=coleccion_nematodos_cbumag",1
"0569339f-a376-42f4-8453-49ab9932713d","https://ipt.biodiversidad.co/sibm/resource?r=coleccionanelidosmhnmc",14
"a8a53c97-b62e-4982-89a5-520cfa92ce65","https://ipt.biodiversidad.co/sibm/resource?r=coleccionsipmhnmc",1
"f98a08db-b2af-4fb9-8735-1b2af9117742","https://ipt.biodiversidad.co/sibm/resource?r=expedicion-antartica_invertebrados",3
"0abb8cc1-8651-4213-aff3-2153d14ac322","https://ipt.biodiversidad.co/sibm/resource?r=guscintas",1
"a0c77508-4641-43f2-b194-cab3386d9e02","https://ipt.biodiversidad.co/sibm/resource?r=moam_260_macroinvertebrados",18
"81fb1b7f-edae-4e71-ac26-a3604a296eeb","https://ipt.biodiversidad.co/sibm/resource?r=udea_pecet_helmintos",1
"e39be6ef-3c91-4e97-baee-2b23ea59808e","https://ipt.biodiversidad.co/sibm/resource?r=unal_algas-coral_seaflower_2018",1
"e0b19500-a6b0-44dd-ba09-f492c4fe4fa4","https://ipt.biodiversidad.co/sibm/resource?r=unal_algas_seaflower_2018",4
"29271d9a-c768-4928-accc-7d61a52185d7","https://ipt.biodiversidad.co/sibm/resource?r=uptc_aves-reptiles_pacifico_2018",11
"d166642a-5670-46e5-a4de-88554adc5073","https://ipt.biodiversity.aq/resource?r=antarctic_biblio_copepoda",1
"f6605170-7d13-4f65-961f-bd322e848d7f","https://ipt.biodiversity.aq/resource?r=bas_jr17003a_polychaetes",1
"1e1704af-41b4-4d48-b69f-5807d02a7e58","https://ipt.biodiversity.aq/resource?r=bas_jr275_holothuroidea",2
"bc004aa7-fb6f-433f-a783-5c05b4e2cd15","https://ipt.biodiversity.aq/resource?r=baso_crustacea_tanaidacea",1
"f8d5bd7b-6e04-408d-acee-81053c45d2be","https://ipt.biodiversity.aq/resource?r=mna_isopoda",1
"6af80242-edfd-4dd2-b957-8e715789e479","https://ipt.biodiversity.aq/resource?r=saambl",54
"fa8ee269-74a6-4e52-b576-fcf023e90f9e","https://ipt.biodiversity.aq/resource?r=zoo_moc",1
"ca816ed5-be34-46d6-8e78-9bebcab8451a","https://ipt.biodiversity.aq/resource?r=zooabund_nbp",3
"c63c3786-55b3-4b16-90df-455d3f759e39","https://ipt.iobis.org/caribbeanobis/resource?r=biodiversityassociatedtogaspipelines",2
"807fbba6-843c-48af-9e94-ee92280c1ae2","https://ipt.iobis.org/caribbeanobis/resource?r=historicalmolluscsriolagartomexico",8
"276ed073-6021-4436-927a-eeaca637a905","https://ipt.iobis.org/caribbeanobis/resource?r=seaslugs_golfofmexico",1
"178270b9-6fca-41f0-8322-e195fca69f13","https://ipt.iobis.org/indobis/resource?r=marine_sponges_gom",2
"36c1ed77-8e1b-4286-b1f0-cf8ddce930f4","https://ipt.iobis.org/obis-deepsea/resource?r=deep-sea_benthic_macrofaunal_invertebrates",1
"34c50cbc-55f7-48aa-9974-45e973f74cff","https://ipt.iobis.org/obis-deepsea/resource?r=historical_distribution_cumacea_natlantic_arctic",3
"a2426321-7817-4086-ace6-f16ce16a3653","https://ipt.iobis.org/obiscanada/resource?r=dl_cpd_ppo",2
"735f8dca-f656-4452-b8cb-a6bf3389f1fd","https://ipt.sibbr.gov.br/peld/resource?r=continuous_monitoring_of_the_micro_and_mesozooplankton_of_the_patos_lagoon_estuary_and_adjacent_coastal_area",1
"b7f2143c-1e72-4351-88cd-fd170ded09a5","https://ipt.vliz.be/eurobis/resource?r=ceataceans_seaturtles_gulf_of_catania",1
"9378019b-6657-4c21-81cd-1d2f19e30065","https://ipt.vliz.be/eurobis/resource?r=ciclos85",3
"2861ebc0-ac05-47c7-a150-df8cc6bc64b0","https://ipt.vliz.be/eurobis/resource?r=epocas",1
"e5389590-6d7e-4752-b84b-faa2a411db87","https://ipt.vliz.be/eurobis/resource?r=ices-vme",4
"46389886-a09c-4cc4-bd5b-76ada2157a52","https://ipt.vliz.be/eurobis/resource?r=irta_phyto",1
"b7a81977-c40f-42c0-8453-f4cfb37ca4c8","https://ipt.vliz.be/eurobis/resource?r=kenya_marine",5
"4732665a-947e-426c-b58c-25a10d98d35d","https://ipt.vliz.be/eurobis/resource?r=lobassess",6
"9c2d6787-245d-4661-b052-c14bccfe1c1b","https://ipt.vliz.be/eurobis/resource?r=macrophytes_mediterranean_lagoon_ifremer",1
"33240dba-2900-49e5-af34-fe7464ce98fe","https://ipt.vliz.be/eurobis/resource?r=radiales_phytopl_test",1
"ff1eca2d-d949-42ce-9cb2-95c26b61d198","https://ipt.vliz.be/eurobis/resource?r=radiales_zoopl_test",2
"80f841cc-500f-44da-a205-899ed1b8fb01","https://nzobisipt.niwa.co.nz/resource?r=annelids_marshalls",2
"0c9db499-759b-46d8-8989-799f9ff9f235","https://nzobisipt.niwa.co.nz/resource?r=auckland_museum_marine",3
"364e5a12-8028-4329-be50-fc548c2d6ce4","https://nzobisipt.niwa.co.nz/resource?r=discovery_reports",9
"b0ae29fa-8e83-4218-ba06-80efa0cf82e5","https://nzobisipt.niwa.co.nz/resource?r=fiji_marine_data",1
"49d1b62c-124a-4854-b878-b83de130eb23","https://nzobisipt.niwa.co.nz/resource?r=ipy_caml",1
"e13f0a51-f810-45d6-9503-64ecd7bedd70","https://nzobisipt.niwa.co.nz/resource?r=mbis_caml",1
"b339f72f-eb69-40c5-b60c-1a37aaffdfb7","https://nzobisipt.niwa.co.nz/resource?r=mbis_nz",20
"00032856-12cd-46ff-b9d5-ddeaecae3c95","https://nzobisipt.niwa.co.nz/resource?r=mbis_plankton",4
"1e764c93-ace6-4fe0-874b-4bdcd9e0251f","https://nzobisipt.niwa.co.nz/resource?r=mnhn-molluscs",3
"23b62349-04a4-442e-bf20-8d91dbc03488","https://nzobisipt.niwa.co.nz/resource?r=new_caledonia_stylasteridae",1
"62fddab8-521b-42b4-b9fe-c0f0f3e2bd58","https://nzobisipt.niwa.co.nz/resource?r=niwacorals",5
"231dc661-d8d9-4d49-9ff0-45bd21a08541","https://nzobisipt.niwa.co.nz/resource?r=obisprovider",1
"2c6db58f-ae91-4a17-9f0f-7db28506b94f","https://nzobisipt.niwa.co.nz/resource?r=obisspecify",7
"da08bb1a-19d6-435e-b0bc-90982b22c3a4","https://nzobisipt.niwa.co.nz/resource?r=pagodulaausna",1
"d1c53013-998f-4ee1-8664-7b0d25a2fb8b","https://nzobisipt.niwa.co.nz/resource?r=rhodolithhabitats",1
"c88a7d1c-1609-47d3-bf1f-a1cb2f7c54f6","https://nzobisipt.niwa.co.nz/resource?r=spc_cofish_invertebrates_fsm_2006",40
"a5af69c2-6e2f-4dc1-bca4-0583b1060255","https://nzobisipt.niwa.co.nz/resource?r=spc_procfish_finfish_fiji_2002_2003",1
"159421b6-a764-4af1-9cc3-bc652dbeb12e","https://nzobisipt.niwa.co.nz/resource?r=terranova",3
"50903a57-ee9f-4367-b2cd-0b36dcf4a6ad","https://nzobisipt.niwa.co.nz/resource?r=trawl",2
"6c813a6c-86f7-4d45-beb5-33eebd8de938","https://nzobisipt.niwa.co.nz/resource?r=vme_inverts",13
"16fbf0e3-a1bf-4541-8b04-bd354678f276","https://nzobisipt.niwa.co.nz/resource?r=xylophagaidae_voight_et_al_2019",2
"7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4","https://www.dassh.ac.uk/ipt/resource?r=l4-edna",8
"e164a936-41a4-408a-a4ca-1f01c82954c7","https://www.marine.csiro.au/ipt/resource?r=bioplatforms_mm_in2016_t01",4
"5db2ffe4-8764-4647-9271-467192832793","https://www.marine.csiro.au/ipt/resource?r=csiro_anfc",13
"930000f4-81ef-421b-8884-042abdf8fbc8","https://www.marine.csiro.au/ipt/resource?r=csiro_wa_2005",2
"aaf06c66-d482-41f2-885a-a5f2b3b932c1","https://www.marine.csiro.au/ipt/resource?r=globalarchive_319_huon_amp",1
"98861cd3-daf5-4da9-9eca-d442d652750d","https://www.marine.csiro.au/ipt/resource?r=globalarchive_ningaloo_d3_bruvs",2
"9d699bfd-d73a-4b55-b113-6c0a8551f481","https://www.marine.csiro.au/ipt/resource?r=imos_auscpr_phyto",1
