"dataset_id","originalScientificName","n_interpreted","interpreted","aphiaids","url"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Ophiothrix (Acanthophiothrix) purpurea",2,"Ophiothrix (Acanthophiothrix) purpurea;Ophiothrix (Ophiothrix) savignyi","244144;244191","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Ophiothrix (Ophiothrix) savignyi",2,"Ophiothrix (Ophiothrix) savignyi;Ophiuroglypha kinbergi","244191;1421344","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Stolus buccalis",3,"Stolus buccalis;Synaptula recta;Thyone dura","210703;210942;210980","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"a4257cff-3c2c-4a60-ab29-91f65545bb08","Heterocyathus wood-masoni",2,"Heterocyathus aequicostatus;Heteropsammia eupsammides","216146;288393","http://ipt.iobis.org/indobis/resource?r=indobisdataset93630_103711"
"7fa72df8-86b3-4b2b-aa71-32a04981c3ff","Scuticociliatia",8,"Kiitrichida;Peniculida;Plagiopylea;Plagiopylida;Scuticociliatia;Spirotrichea;Stichotrichida;Thigmotrichida","1348;414712;414713;414714;414715;414716;414717;414718","http://ipt.iobis.org/obis-china/resource?r=benthic_ciliate_in_the_yellow_sea_in_july_2010"
"c5b41db4-b568-4096-8f98-b74ffd615f37","Desmophyllum dianthus",2,"Desmophyllum;Desmophyllum dianthus","135093;135159","http://ipt.iobis.org/obis-deepsea/resource?r=anthozoahydrozoa"
"c5b41db4-b568-4096-8f98-b74ffd615f37","Paragorgiidae",7,"Alcyonium;Anthomastus;Clavularia;Coralliidae;Cornulariidae;Paralcyoniidae;Sarcodictyon","125280;125282;125283;125284;125285;125286;125287","http://ipt.iobis.org/obis-deepsea/resource?r=anthozoahydrozoa"
"3425145f-8016-403a-abca-9cb33a29108e","Amboherpia abyssokurilensis",4,"Amboherpia abyssokurilensis;Natica forskalii;Parvofusus;Parvofusus lamellosus","1053339;1053341;1053342;1053343","http://ipt.iobis.org/obis-deepsea/resource?r=beneficial_deepsea"
"3425145f-8016-403a-abca-9cb33a29108e","Munnopsidae",12,"Aegidae;Cirolanidae;Cymothoidae;Desmosomatidae;Limnoriidae;Munnopsidae;Nannoniscidae;Paramunnidae;Pleurocopidae;Serolidae;Stenetriidae;Thambematidae","118250;118264;118265;118266;118267;118270;118271;118272;118273;118274;118275;118276","http://ipt.iobis.org/obis-deepsea/resource?r=beneficial_deepsea"
"3425145f-8016-403a-abca-9cb33a29108e","Pogonophora",2,"Dasya;Siboglinidae","129096;143870","http://ipt.iobis.org/obis-deepsea/resource?r=beneficial_deepsea"
